FID,the_geom,ID,LOCALIDAD,DISTRITO,DEPTO,C_POSTAL,DIST_MZA,POB_1980,POB_1991,POB_2001,POB_2010
localidades.1,POINT (-69.8295507706639 -36.660640567181126),33,Ranquil Norte,Río Barrancas,Malargüe,5611,614,,,,0
localidades.2,POINT (-69.80614705625842 -35.866364837218036),29,Bardas Blancas,Río Grande,Malargüe,5611,502,,,63,67
localidades.3,POINT (-70.20327308716953 -35.14227308861101),107,Valle Hermoso,Ciudad de Malargüe,Malargüe,5612,472,,,,0
localidades.4,POINT (-69.04187287074802 -33.775874437115405),95,Ciudad de San Carlos,Ciudad de San Carlos,San Carlos,5569,104,1826,2712,3262,3458
localidades.5,POINT (-68.61661750449333 -33.18525626037075),164,Medrano (R),Medrano (R),Rivadavia,5585,49,,1526,1748,1853
localidades.6,POINT (-68.46247489213654 -33.19399584528239),109,Ciudad de Rivadavia,Ciudad de Rivadavia,Rivadavia,5577,60,14901,21770,26792,28400
localidades.7,POINT (-68.31420957132002 -33.281318921153805),88,La Central,La Central,Rivadavia,5579,80,272,755,823,872
localidades.8,POINT (-68.7900058211223 -32.97738656579569),110,Ciudad de Maipú,Ciudad de Maipú,Maipú,5515,15,,71603,89433,94799
localidades.9,POINT (-68.66621844798205 -32.58916371893665),111,Jocolí (L),Jocolí,Lavalle,5543,42,,,549,582
localidades.10,POINT (-69.34656011351548 -32.59239282217625),80,Uspallata,Uspallata,Las Heras,5545,105,1294,2932,3437,3643
localidades.11,POINT (-68.48305801934997 -33.1024564925272),47,La Colonia (J),La Colonia,Junín,5570,43,4148,6757,9282,9839
localidades.12,POINT (-68.64944545743535 -33.00744601108606),101,Fray Luis Beltrán,Fray Luis Beltrán,Maipú,5531,24,1160,2564,4210,4463
localidades.13,POINT (-69.15463134965744 -33.30126142504398),114,San José (T),San José (T),Tupungato,5561,63,220,896,1487,1576
localidades.14,POINT (-69.13867212167888 -33.34912606101051),1,Villa Bastías,Villa Bastías,Tupungato,5561,70,635,,,0
localidades.15,POINT (-69.17380074805976 -33.34607796955301),37,El Peral,El Peral,Tupungato,5561,69,,,366,388
localidades.16,POINT (-69.10202975991552 -33.37045292115643),38,La Arboleda,La Arboleda,Tupungato,5561,73,,,198,210
localidades.17,POINT (-69.07604435082669 -33.44164676198042),162,El Zampal (T),El Zampal (T),Tupungato,5561,69,,,,0
localidades.18,POINT (-69.14900044797136 -33.45755174251615),36,Cordón del Plata,Cordón del Plata,Tupungato,5561,80,,509,1305,1383
localidades.19,POINT (-69.1750748331648 -33.59474670387602),3,Los Sauces,Los Sauces,Tunuyán,5563,99,252,289,449,476
localidades.20,POINT (-69.1088651239334 -33.608128845052185),91,Colonia Las Rosas,Colonia las Rosas,Tunuyán,5565,92,658,760,945,1002
localidades.21,POINT (-67.90994133727307 -33.351034421697015),43,La Dormida,La Dormida,Santa Rosa,5592,103,1302,1953,2075,2200
localidades.22,POINT (-68.32431487617296 -32.74957223440024),67,Nueva California,Nueva California,San Martín,5535,53,237,267,238,252
localidades.23,POINT (-68.38746520272215 -32.9005359393505),68,Tres Porteñas,Tres Porteñas,San Martín,5589,48,854,1560,2160,2290
localidades.24,POINT (-68.46321924321053 -32.98337674081767),115,Chapanay,Chapanay,San Martín,5589,42,,686,1242,1317
localidades.25,POINT (-68.47361191477007 -33.085336470043885),77,Ciudad de San Martín,Ciudad de San Martín,San Martín,5570,43,31697,64773,49491,52460
localidades.26,POINT (-68.33483276181848 -34.615838740056944),117,Ciudad de San Rafael,Ciudad de San Rafael,San Rafael,5600,232,72759,94651,106386,112769
localidades.27,POINT (-67.87579781129742 -34.593292909349444),106,Monte Comán,Monte Comán,San Rafael,5609,228,2577,3915,3712,3935
localidades.28,POINT (-67.99464271284593 -34.6747528399462),118,Colonia La Llave Sur,La Llave,San Rafael,5600,245,,,,0
localidades.29,POINT (-68.13386175118819 -34.627213483070555),119,Alto del Algarrobal,Cuadro Nacional,San Rafael,5607,248,,,,0
localidades.30,POINT (-68.54461491155621 -34.5851496362592),99,Colonia 25 de Mayo,25 de Mayo,San Rafael,5615,227,1354,1440,1585,1680
localidades.31,POINT (-68.27482907410398 -34.61739901967654),20,Cuadro Nacional,Cuadro Nacional,San Rafael,5607,237,,,,0
localidades.32,POINT (-68.13176186238795 -34.679260399720015),13,Goudge,Goudge,San Rafael,5603,253,1163,1479,1818,1927
localidades.33,POINT (-67.86633998442635 -35.010371696730736),120,Soitue,Jaime Prats,San Rafael,5632,294,,,,0
localidades.34,POINT (-67.75939023078168 -34.8404957263785),7,Real del Padre,Real del Padre,San Rafael,5624,258,2146,2451,3345,3546
localidades.35,POINT (-68.82371856758033 -32.89264817336522),2,San José (G),San José (G),Guaymallén,5519,3,,,,0
localidades.36,POINT (-68.74485338160414 -32.92240413199064),122,Rodeo de la Cruz,Rodeo de la Cruz,Guaymallén,5525,11,,,,1200
localidades.37,POINT (-68.69562478224205 -32.90185985334916),123,Los Corralitos,Los Corralitos,Guaymallén,5527,16,,701,1044,1107
localidades.38,POINT (-68.66809102424013 -32.92539910928493),135,La Primavera (G),La Primavera (G),Guaymallén,5527,20,,522,639,677
localidades.39,POINT (-68.74335257671207 -32.865236542950555),124,El Sauce,El Sauce,Guaymallén,5533,10,,,,0
localidades.40,POINT (-68.8546069865453 -32.94004528774206),125,Ciudad de Godoy Cruz,Ciudad de Godoy Cruz,Godoy Cruz,5501,3,,179553,182563,193517
localidades.41,POINT (-69.03481339182552 -34.01769182413335),126,Paso de las Carretas,Pareditas,San Carlos,5569,132,,,,0
localidades.42,POINT (-68.6761018851417 -35.03127851285618),10,El Nihuil,El Nihuil,San Rafael,5605,285,1457,1495,847,898
localidades.43,POINT (-68.40679442091242 -33.048160408261495),19,Chivilcoy,Chivilcoy,San Martín,5571,51,316,311,425,451
localidades.44,POINT (-68.4605318771867 -34.65521628971748),21,Cuadro Benegas,Cuadro Benegas,San Rafael,5603,229,324,426,1122,1189
localidades.45,POINT (-70.14163342539062 -35.7946303498373),28,Las loicas,Río Grande,Malargüe,5613,545,,,,0
localidades.46,POINT (-69.76788092880915 -36.104163557636426),30,El Manzano (M),Río Grande,Malargüe,5611,531,,,,0
localidades.47,POINT (-69.86618438883202 -36.27268095015897),31,El Alambrado,Río Grande,Malargüe,5611,559,,,,0
localidades.48,POINT (-69.03559320047856 -34.58202235457935),32,Agua del Toro (SR),Agua del Toro,San Rafael,5621,196,,,,0
localidades.49,POINT (-69.0113216642931 -33.54599989133155),42,El Zampalito,El Zampalito,Tupungato,5560,78,,,,0
localidades.50,POINT (-68.17988772544486 -33.16212679240217),45,El Marcado,Ciudad de Santa Rosa,Santa Rosa,5594,77,,,,0
localidades.51,POINT (-68.67295053355701 -32.70849881248614),57,Jocolí Viejo,Jocolí Viejo,Lavalle,5533,32,141,167,402,426
localidades.52,POINT (-69.25185664551445 -32.97075615986881),61,Potrerillos,Potrerillos,Luján,5549,45,744,38,250,210
localidades.53,POINT (-68.56504486968903 -33.2154733349765),66,Reducción de Abajo,Reducción,Rivadavia,5579,56,,312,439,465
localidades.54,POINT (-68.47190810500818 -33.0104585932234),69,Chimbas,Las Chimbas,San Martín,5584,42,579,,,0
localidades.55,POINT (-68.34939799113438 -33.170570213708714),75,Alto Verde (J),Alto Verde (J),Junín,5582,58,870,,,0
localidades.56,POINT (-68.41195113659462 -33.19885125366709),76,Santa María de Oro,Santa Maria de Oro,Rivadavia,5579,59,328,616,741,785
localidades.57,POINT (-69.01566294090074 -33.58100033337222),90,Ciudad de Tunuyán,Ciudad de Tunuyán,Tunuyán,5560,82,14719,20260,25170,26680
localidades.58,POINT (-68.249309824578 -34.83660885513297),100,Las Malvinas,Las Malvinas,San Rafael,5605,266,230,192,232,246
localidades.59,POINT (-67.68990057890647 -34.97826972513626),104,Ciudad de General Alvear,Ciudad de Gral Alvear,General Alvear,5620,275,20783,23699,26342,27923
localidades.60,POINT (-69.3832225988032 -33.603051509699704),127,El Manzano (T),Los Chayanes,Tunuyán,5560,116,,6,34,36
localidades.61,POINT (-70.07775580957664 -35.145003676142025),18,Valle Las Leñas,Ciudad de Malargüe,Malargüe,5612,452,,261,75,80
localidades.62,POINT (-69.58482886231688 -35.47382043541408),128,Ciudad de Malargüe,Ciudad de Malargüe,Malargüe,5613,436,9549,15344,18077,19162
localidades.63,POINT (-69.81818257763437 -35.49565649555808),129,Castillos de Pincheira,Ciudad de Malargüe,Malargüe,5613,464,,,,15
localidades.64,POINT (-69.87123823255861 -35.16040731734258),130,Laguna Niña Encantada,Ciudad de Malargüe,Malargüe,5611,438,,,,6
localidades.65,POINT (-69.11987310789043 -33.73433232913343),97,La Consulta,La Consulta,San Carlos,5567,104,3172,6069,7354,7795
localidades.66,POINT (-69.06533476864486 -33.78071060926778),94,Eugenio Bustos,Eugenio Bustos,San Carlos,5569,104,1408,3484,3973,4211
localidades.67,POINT (-69.06940160583895 -33.89074398287243),4,Chilecito,Chilecito,San Carlos,5569,116,247,554,828,878
localidades.68,POINT (-68.57314755110552 -33.18672594154859),218,Los Arboles (R),Los Arboles,Rivadavia,5575,52,,103,391,414
localidades.69,POINT (-68.68659365266103 -32.99342282390482),132,Rodeo del Medio,Rodeo del Medio,Maipú,5529,19,,6268,9120,9667
localidades.70,POINT (-68.87868913925728 -33.036286896881805),133,Ciudad de Luján,Ciudad de Luján,Luján,5507,18,,54210,73058,77441
localidades.71,POINT (-69.11840415205242 -33.01605443251241),59,Cacheuta,Potrerillos,Luján,5549,34,104,70,76,81
localidades.72,POINT (-68.88773855995849 -33.20300932566449),58,Ugarteche,Ugarteche,Luján,5509,36,,1194,3660,3880
localidades.73,POINT (-68.75665658698308 -33.32117905762769),60,El Carrizal,El Carrizal,Luján,5509,57,,176,319,338
localidades.74,POINT (-68.59575310721685 -32.72243448079774),82,Villa Tulumaya,Tulumaya,Lavalle,5533,33,3307,5584,7005,7425
localidades.75,POINT (-68.39739783049855 -32.75835084207689),56,Costa de Araujo,Costa de Araujo,Lavalle,5535,46,25586,1871,2629,2787
localidades.76,POINT (-68.31951497253482 -32.69956929411723),83,Gustavo André,Ing. Gustavo André,Lavalle,5535,60,135,121,324,343
localidades.77,POINT (-69.75227254858318 -32.851750873120224),79,Punta de Vacas,Las Cuevas,Las Heras,5553,162,209,135,47,51
localidades.78,POINT (-68.61772610610288 -33.17772554517448),53,Medrano (J),Medrano (J),Junín,5585,48,1264,518,811,860
localidades.79,POINT (-68.59644739345826 -33.12451909275966),51,Rodriguez Peña,Rodriguez Peña,Junín,5585,42,157,181,351,372
localidades.80,POINT (-68.57587142447204 -33.098713469948684),48,Los Barriales,Los Barriales,Junín,5585,38,1205,2194,3872,4104
localidades.81,POINT (-68.37530481944323 -33.205122308035705),50,Phillips,Phillips,Junín,5579,62,297,315,690,731
localidades.82,POINT (-68.58775574957428 -33.03143988522357),87,San Roque,San Roque,Maipú,5587,30,1331,2065,3427,3633
localidades.83,POINT (-69.05986088773885 -33.632187228245314),134,La Primavera (T),La Primavera (T),Tunuyán,5565,91,,,,650
localidades.84,POINT (-69.17688947261735 -33.703226029862506),93,Campo Los Andes,Campo los Andes,Tunuyán,5565,109,1198,878,530,562
localidades.85,POINT (-69.25558132365607 -33.512078988126675),163,Los Arboles (T),Los Arboles,Tunuyán,5563,105,,,,0
localidades.86,POINT (-68.14990271979543 -33.254958108491316),103,Ciudad de Santa Rosa,Ciudad de Santa Rosa,Santa Rosa,5596,78,1136,1526,1929,2045
localidades.87,POINT (-68.43504611178744 -32.99254712068561),136,Alto Salvador,Alto Salvador,San Martín,5571,43,,,237,251
localidades.88,POINT (-68.38630436693093 -33.01456275584173),24,Montecaseros,Montecaseros,San Martín,5571,53,,735,1017,1078
localidades.89,POINT (-68.56184502273587 -33.05404901052727),102,Palmira,Palmira,San Martín,5584,32,13504,,20889,22142
localidades.90,POINT (-67.92362140875376 -34.83262802432878),9,Villa Atuel,Villa Atuel,San Rafael,5622,272,2801,2748,3164,3354
localidades.91,POINT (-68.37101397861694 -34.516093545429584),137,Colonia Iaccarini,Las Paredes,San Rafael,5615,223,,,,0
localidades.92,POINT (-68.28315132239439 -34.532569509563174),138,La Tombina,El Cerrito,San Rafael,5600,233,,,,0
localidades.93,POINT (-68.18521534785121 -34.53609568428487),139,Colonia Tabanera,Cuadro Nacional,San Rafael,5607,241,,,,0
localidades.94,POINT (-67.9883606090646 -34.56789696334513),140,La Llave Vieja,La Llave,San Rafael,5603,228,,,,0
localidades.95,POINT (-68.24748211912055 -34.65440801386158),142,Vuelta de Rodrigo,Cuadro Nacional,San Rafael,5607,243,,,,0
localidades.96,POINT (-68.04129527965985 -34.560068342794175),143,Colonia Elena,Cuadro Nacional,San Rafael,5603,230,,,,0
localidades.97,POINT (-67.9265839449378 -34.618201995822815),144,Colonia Colomer,Monte Comán,San Rafael,5603,234,,,,0
localidades.98,POINT (-68.7286940628977 -32.93372215499077),145,Kilómetro 11,Kilómetro 11,Guaymallén,5525,13,,,,650
localidades.99,POINT (-68.70895098998902 -32.84938879658847),146,Colonia Segovia,Colonia Segovia,Guaymallén,5525,15,,1136,3229,3423
localidades.100,POINT (-69.84262119714913 -32.84216180646199),72,Los Penitentes,Las Cuevas,Las Heras,5553,173,,7,16,17
localidades.101,POINT (-70.05186398004173 -32.813887410068155),71,Las Cuevas,Las Cuevas,Las Heras,5557,191,497,56,7,7
localidades.102,POINT (-68.00599584307488 -33.86243237348072),147,Comandante Salas,Zona Desertica,Santa Rosa,5594,140,,,,0
localidades.103,POINT (-68.99471008926164 -33.64814009894038),148,Capiz,Ciudad de San Carlos,San Carlos,5560,90,,,,0
localidades.104,POINT (-69.87029988994904 -35.16619853759076),149,Los Molles,Ciudad de Malargüe,Malargüe,5611,442,,,,0
localidades.105,POINT (-68.3041841342293 -36.15553022469024),17,Agua Escondida,Agua Escondida,Malargüe,5621,437,,198,116,123
localidades.106,POINT (-69.66099319958836 -36.52227064326139),150,El Zampal (M),Río Barrancas,Malargüe,5613,585,,,,0
localidades.107,POINT (-70.40118290067163 -35.98391533115731),151,Paso El Pehuenche,Río Grande,Malargüe,5613,574,,,,0
localidades.108,POINT (-69.05725597363637 -33.835639992376656),70,Tres Esquinas,Ciudad de San Carlos,San Carlos,5569,112,,,,0
localidades.109,POINT (-69.07756373105975 -33.94122408547064),96,Pareditas,Pareditas,San Carlos,5569,122,306,691,1254,1329
localidades.110,POINT (-68.87914950760893 -32.9873841535843),154,Chacras de Coria,Chacras de Coria,Luján,5505,13,,,,3500
localidades.111,POINT (-68.89070117391981 -33.075013903380345),86,Perdriel,Perdriel,Luján,5509,23,1023,4437,7181,7612
localidades.112,POINT (-68.8891505341823 -33.119047628305374),85,Agrelo,Agrelo,Luján,5509,27,603,749,1880,1993
localidades.113,POINT (-68.63747664792379 -32.67912420377106),81,Tres de Mayo,Tres de Mayo,Lavalle,5543,34,252,464,614,651
localidades.114,POINT (-67.55368169867235 -33.46145561795393),54,Ciudad de La Paz,La Paz,La Paz,5590,138,4613,5575,7059,7483
localidades.115,POINT (-68.41578726377108 -33.13216945595855),52,Algarrobo Grande,Algarrobo Grande,Junín,5582,50,,,,0
localidades.116,POINT (-68.48451102280157 -33.14669038632064),155,Ciudad de Junín,Ciudad de Junín,Junín,5573,49,3227,4495,6084,6449
localidades.117,POINT (-69.14591346557042 -33.36544500735797),89,Ciudad de Tupungato,Villa de Tupungato,Tupungato,5561,72,3460,8163,11687,12388
localidades.118,POINT (-68.98794670176467 -33.49574057466068),40,Zapata,Zapata,Tupungato,5560,72,,,,0
localidades.119,POINT (-69.17663335281044 -33.56463415929618),34,Villa Seca,Villa Seca,Tunuyán,5563,95,,,237,251
localidades.120,POINT (-69.15447929906954 -33.64882426376797),92,Vista Flores,Vista Flores,Tunuyán,5565,98,1488,2514,3482,3691
localidades.121,POINT (-68.04612190580124 -33.303278516265856),98,Las Catitas,Las Catitas,Santa Rosa,5594,90,1680,2714,3060,3244
localidades.122,POINT (-68.41491911980619 -33.061674153776046),156,Buen Orden,Buen Orden,San Martín,5570,50,,,,0
localidades.123,POINT (-68.40987987613188 -33.12329130721484),49,Ingeniero Giagnoni,Alto Verde (S),San Martín,5582,51,21,466,587,622
localidades.124,POINT (-67.81695433074199 -34.91542504909187),8,Jaime Prats,Jaime Prats,San Rafael,5623,286,287,314,388,411
localidades.125,POINT (-68.40819594956241 -34.509718431361826),157,Colonia El Usillal,Las Paredes,San Rafael,5601,217,,,,0
localidades.126,POINT (-67.9785549337282 -34.64891418744929),158,Colonia Gelman,La Llave,San Rafael,5603,240,,,,0
localidades.127,POINT (-68.45610639274608 -34.58413805012099),6,Capitán Montoya,Las Paredes,San Rafael,5601,219,241,323,360,382
localidades.128,POINT (-68.84147095335952 -32.89680279492925),159,Ciudad Capital,Ciudad Capital,Capital,5500,0,,121620,110993,117653
localidades.129,POINT (-68.22992388407401 -34.72661417475938),11,Salto de Las Rosas,Cañada Seca,San Rafael,5603,253,658,858,1059,1123
localidades.130,POINT (-67.97797360542553 -34.63991914803693),12,Rodolfo Iselín,La Llave,San Rafael,5603,239,469,,,950
localidades.131,POINT (-68.36140227485625 -34.672698002080125),14,Rama Caída,Rama Caída,San Rafael,5603,235,807,903,901,955
localidades.132,POINT (-67.64977708619901 -35.15038090476895),15,Carmensa,San Pedro del Atuel,General Alvear,5621,296,788,926,923,978
localidades.133,POINT (-67.94824458662646 -34.617675100281694),22,La Llave Nueva,La Llave,San Rafael,5600,235,,441,462,490
localidades.134,POINT (-67.99994019840581 -34.800439964533204),23,Negro Quemado,Villa Atuel,San Rafael,5623,264,,,,0
localidades.135,POINT (-67.65291261281664 -34.99930554864686),25,Alvear Oeste,Ciudad de Gral Alvear,General Alvear,5632,280,,,,900
localidades.136,POINT (-67.5673541189394 -35.13420944131664),27,Colonia Rusa,San Pedro del Atuel,General Alvear,5603,304,,,,0
localidades.137,POINT (-68.92520503750379 -33.328326449792165),39,Anchoris,Anchoris,Tupungato,5509,53,,,,0
localidades.138,POINT (-67.95690568519554 -34.04881986388133),44,Ñacuñán,Zona Desertica,Santa Rosa,5595,166,,,,250
localidades.139,POINT (-67.59656793558352 -33.464691112844704),55,Villa Antigua,La Paz,La Paz,5590,131,306,205,281,298
localidades.140,POINT (-68.41632923931375 -33.17391029850945),222,Mundo Nuevo (J),Mundo Nuevo (J),Junín,5579,56,,,,0
localidades.141,POINT (-68.31440367467727 -33.319668287045616),64,El Mirador,El Mirador,Rivadavia,5579,85,378,732,775,822
localidades.142,POINT (-68.49635653092703 -33.23716543353892),65,La Libertad,La Libertad,Rivadavia,5579,67,,686,629,667
localidades.143,POINT (-69.91544112789568 -32.824672948329976),73,Puente del Inca,Las Cuevas,Las Heras,5555,178,126,128,132,140
localidades.144,POINT (-69.0004140329142 -33.03709085829338),74,Blanco Encalada,El Challao,Las Heras,5549,25,85,448,1277,1354
localidades.145,POINT (-68.33839107553104 -33.15599047412123),5,Alto Verde (S),Alto Verde (S),San Martín,5582,58,,1154,1440,1526
localidades.146,POINT (-69.65177692157032 -32.79390439026303),78,Polvareda,Uspallata,Las Heras,5551,150,233,174,185,196
